NUMBER_1,X_WORLD_1,Y_WORLD_1,X_IMAGE_1,Y_IMAGE_1,FLUX_ISO_1,FLUXERR_ISO_1,MAG_ISO_1,MAGERR_ISO_1,BACKGROUND_1,THRESHOLD_1,FLUX_MAX_1,ISOAREA_IMAGE_1,THETA_IMAGE_1,FLAGS_1,ELONGATION_1,ELLIPTICITY_1,NUMBER_2,X_WORLD_2,Y_WORLD_2,X_IMAGE_2,Y_IMAGE_2,FLUX_ISO_2,FLUXERR_ISO_2,MAG_ISO_2,MAGERR_ISO_2,BACKGROUND_2,THRESHOLD_2,FLUX_MAX_2,ISOAREA_IMAGE_2,THETA_IMAGE_2,FLAGS_2,ELONGATION_2,ELLIPTICITY_2,Separation,B_V
1,154.04478247174998,-46.20173406513728,2.8354046,120.12807,211010.38,477.21262,15.463241,0.002456054,95.003265,68.92337,8572.059,345,89.93977,8,8.70689,0.8851484,1,154.04476469518417,-46.20180423591034,2.7188768,120.77532,424237.62,714.2937,15.170977,0.0018285105,222.39586,152.23218,14745.507,364,89.99125,8,10.972051,0.9088593,0.2564684646749624,0.29226398
2,154.53846318519766,-46.19514874416647,3157.6638,83.547905,340077.9,601.0531,14.945054,0.0019193945,94.428474,68.92337,5649.1533,430,41.555435,0,1.0084327,0.008362293,2,154.5385261617744,-46.195158395366064,3158.0652,83.641335,1516536.1,1289.0343,13.787868,9.230847E-4,230.86005,152.23218,25362.693,602,-80.91537,0,1.1130208,0.10154414,0.1607336501642279,1.1571865
3,154.36906694994232,-46.193473661435135,2075.3992,57.56644,208338.62,474.8554,15.477076,0.0024752633,91.685875,68.92337,3407.5186,348,25.6153,0,1.0402218,0.038666546,3,154.36913067472946,-46.19348757243343,2075.8052,57.69838,540038.9,790.4796,14.908937,0.0015896279,231.84953,152.23218,9301.573,366,81.75485,0,1.1198944,0.107058644,0.1665122176768234,0.5681381
5,154.37929648802867,-46.1922580913414,2140.8643,46.915028,77036.52,298.2618,16.557259,0.0042046593,86.65152,68.92337,1281.3993,251,49.68175,2,1.0944614,0.0863086,5,154.3793512128897,-46.192273034259294,2141.213,47.056038,262364.44,572.66797,15.692738,0.0023704334,230.44586,152.23218,4514.017,283,73.524155,2,1.1611031,0.13875008,0.1466042309382658,0.864521
6,154.18880196544325,-46.191927338104776,923.5861,34.634724,857302.94,939.6317,13.941164,0.0011902911,87.87205,68.92337,14227.381,534,-12.913086,0,1.1278102,0.11332601,8,154.18884643999232,-46.191909266327244,923.8714,34.46971,1707463.2,1356.5596,13.6591215,8.628143E-4,217.62248,152.23218,27816.748,568,-74.2828,0,1.0639012,0.060063064,0.12851777842835096,0.2820425
7,154.25017193674788,-46.1927358371343,1315.7045,44.751904,81430.61,304.29282,16.49703,0.0040582037,88.803444,68.92337,1371.3951,235,30.853695,0,1.0481868,0.045971513,7,154.25021727634424,-46.19274344901643,1315.9937,44.82424,223120.11,530.5848,15.868653,0.002582533,219.93442,152.23218,3851.8638,252,73.85727,0,1.1713545,0.1462875,0.11626378553966439,0.62837696
8,154.23232094614707,-46.19226631429,1201.6636,39.614456,358113.34,614.7541,14.888948,0.0018642783,88.35709,68.92337,5675.505,417,20.691294,0,1.0574673,0.054344296,9,154.23234107208933,-46.192278220384225,1201.7914,39.725254,1534799.6,1290.185,13.774871,9.129146E-4,218.33102,152.23218,24881.873,556,66.40363,0,1.0973667,0.08872759,0.06597489867635574,1.1140776
9,154.29479180968366,-46.19157766738523,1600.9146,36.180267,375704.8,627.1594,14.836884,0.0018128464,87.79655,68.92337,6379.5566,368,4.7713275,0,1.1536342,0.13317406,10,154.294806525952,-46.191570173328216,1601.0092,36.111813,2264121.0,1548.7201,13.352751,7.4285344E-4,218.9344,152.23218,37070.7,574,58.368168,0,1.0467314,0.04464495,0.04552861719578461,1.4841328
10,154.27686616706413,-46.192021764947995,1486.3341,39.408997,48679.266,239.92201,17.05564,0.0053524906,87.25797,68.92337,838.9025,187,39.712788,0,1.0394398,0.037943363,11,154.2769134653291,-46.1920338972851,1486.6355,39.523254,120164.44,403.77902,16.54056,0.0036491996,219.01949,152.23218,2221.0671,185,76.889915,0,1.1736166,0.147933,0.12570275161689404,0.5150795
11,154.44891419408506,-46.19057696178414,2585.8787,35.497227,159029.08,414.21033,15.7703085,0.0028286173,87.953255,68.92337,2894.2827,260,-0.28037062,0,1.1973648,0.16483265,12,154.44898730474705,-46.19054808385461,2586.3484,35.235165,438675.2,715.3148,15.134642,0.001770859,220.55336,152.23218,7633.5723,309,-63.93225,0,1.0376107,0.036247313,0.20977477411164125,0.63566685
