id,x,y,v,verr,sky,sum,errcode,semimajor,ecc,angle,inner,outer
1,1977.070000,1766.470000,14.9169,0.00166,356.4,536410,OK,8.900000,0.000000,90.000000,annulus,circle
2,2135.150000,1898.300000,14.5981,0.00153,539.69,719490,OK,10.900000,0.000000,0.000000,annulus,circle
3,2327.210000,1878.020000,13.3159,0.00077,567.79,2.3438e+06,OK,12.000000,0.000000,0.000000,annulus,circle
4,2278.540000,1997.630000,15.9812,0.00374,804.95,201270,OK,8.400000,0.000000,0.000000,annulus,circle
5,2176.890000,2081.240000,14.0678,0.00121,1014.8,1.1726e+06,OK,10.300000,0.000000,90.000000,annulus,circle
6,2314.950000,2021.800000,15.1683,0.00244,1039.4,425570,OK,9.800000,0.000000,0.000000,annulus,circle
7,2326.750000,2089.330000,15.4496,0.0025,939.76,328430,OK,7.300000,0.000000,90.000000,annulus,circle
8,2251.220000,2173.100000,14.865,0.00202,1037.5,562700,OK,10.200000,0.000000,0.000000,annulus,circle
9,2259.400000,2064.120000,29.2407,100,1262.3,-15072,?,7.300000,0.000000,90.000000,annulus,circle
10,2315.850000,2138.370000,14.7667,0.00176,1038.5,616000,OK,8.700000,0.000000,0.000000,annulus,circle
11,2227.360000,2080.280000,19.0108,0.04083,1189.9,12358,OK,5.900000,0.000000,0.000000,annulus,circle
12,2185.900000,2161.170000,15.9473,0.00313,661.35,207670,OK,6.800000,0.000000,90.000000,annulus,circle
13,2229.900000,2027.970000,19.1653,0.04713,922.94,10720,OK,6.700000,0.000000,0.000000,annulus,circle
14,2299.030000,2094.350000,15.244,0.0024,1120.6,396910,OK,8.200000,0.000000,0.000000,annulus,circle
15,2286.220000,2148.130000,16.7608,0.00687,834.07,98163,OK,8.400000,0.000000,0.000000,annulus,circle
16,2214.390000,2211.820000,14.8851,0.00182,726.16,552370,OK,9.200000,0.000000,0.000000,annulus,circle
17,2351.760000,2154.660000,15.0823,0.00224,1086.8,460650,OK,9.100000,0.000000,0.000000,annulus,circle
18,2389.100000,2038.880000,16.246,0.00418,786.97,157710,OK,7.400000,0.000000,0.000000,annulus,circle
